,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
323,Tony Pollard,RB,DAL,1.0,TAM,1,1,Thu,3,14,4.67,0,4,4,29,7.25,0,100.00%,7.25,8.3,0,0,0,0,0,0,0,29,31
324,Travis Homer,RB,SEA,0.0,JAX,8,8,Sun,4,9,2.25,0,1,1,3,3.0,0,100.00%,3.0,8.2,0,0,0,0,0,0,1,31,7
325,Elijah Mitchell,RB,SFO,1.0,ARI,5,5,Sun,9,43,4.78,0,2,2,19,9.5,0,100.00%,9.5,8.2,0,0,0,0,0,0,0,10,17
326,Jonathan Taylor,RB,IND,1.0,TEN,3,3,Sun,10,64,6.4,0,1,1,8,8.0,0,100.00%,8.0,8.2,0,0,0,0,0,0,0,16,25
327,James Conner,RB,ARI,1.0,CLE,6,6,Sun,16,71,4.44,0,1,1,0,0.0,0,100.00%,0.0,8.1,0,0,0,0,0,0,1,37,14
328,Joe Mixon,RB,CIN,1.0,CHI,2,2,Sun,20,69,3.45,0,2,1,2,2.0,0,50.00%,1.0,8.1,0,0,0,0,0,0,0,17,20
329,Chase Edmonds,RB,ARI,1.0,CLE,6,6,Sun,4,46,11.5,0,4,3,4,1.33,0,75.00%,1.0,8.0,0,0,0,0,0,0,1,37,14
330,Damien Williams,RB,CHI,1.0,LAR,1,1,Sun,6,12,2.0,0,5,4,28,7.0,0,80.00%,5.6,8.0,0,0,0,0,0,0,0,14,34
331,Darrel Williams,RB,KAN,1.0,TEN,7,7,Sun,5,20,4.0,0,4,3,30,10.0,0,75.00%,7.5,8.0,0,0,0,0,0,0,0,3,27
332,Nick Chubb,RB,CLE,0.0,PIT,8,8,Sun,16,61,3.81,0,1,1,8,8.0,0,100.00%,8.0,7.9,0,0,0,0,0,0,0,10,15
333,Justin Jackson,RB,LAC,0.0,NWE,7,8,Sun,3,79,26.33,0,0,0,0,0.0,0,0.00%,0.0,7.9,0,0,0,0,0,0,0,24,27
334,Le'Veon Bell,RB,BAL,0.0,LAC,6,6,Sun,8,18,2.25,1,0,0,0,0.0,0,0.00%,0.0,7.8,0,0,0,0,0,0,1,34,6
335,Dalvin Cook,RB,MIN,0.0,DAL,7,8,Sun,18,78,4.33,0,2,0,0,0.0,0,0.00%,0.0,7.8,0,0,0,0,0,0,0,16,20
