,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
345,Marcedes Lewis,TE,GNB,1.0,NOR,1,1,Sun,1,1,19,19.0,0,100.00%,19.0,2.9,0,0,0,0,0,0,0,0,0,0,3,38
346,Donald Parham,TE,LAC,1.0,KAN,3,3,Sun,1,1,19,19.0,0,100.00%,19.0,2.9,0,0,0,0,0,0,0,0,0,1,30,24
347,Drew Sample,TE,CIN,0.0,GNB,5,5,Sun,4,2,9,4.5,0,50.00%,2.25,2.9,0,0,0,0,0,0,0,0,0,0,22,25
348,Mo Alie-Cox,TE,IND,0.0,LAR,2,2,Sun,2,1,18,18.0,0,50.00%,9.0,2.8,0,0,0,0,0,0,0,0,0,0,24,27
349,Pharaoh Brown,TE,HOU,1.0,IND,6,6,Sun,3,2,8,4.0,0,66.70%,2.67,2.8,0,0,0,0,0,0,0,0,0,0,3,31
350,Eric Ebron,TE,PIT,1.0,GNB,4,4,Sun,2,2,8,4.0,0,100.00%,4.0,2.8,0,0,0,0,0,0,0,0,0,0,17,27
351,Noah Fant,TE,DEN,0.0,WAS,8,8,Sun,4,2,8,4.0,0,50.00%,2.0,2.8,0,0,0,0,0,0,0,0,0,1,17,10
352,Kyle Rudolph,TE,NYG,0.0,DEN,1,1,Sun,5,2,8,4.0,0,40.00%,1.6,2.8,0,0,0,0,0,0,0,0,0,0,13,27
353,Kyle Rudolph,TE,NYG,0.0,CAR,7,7,Sun,2,2,8,4.0,0,100.00%,4.0,2.8,0,0,0,0,0,0,0,0,0,1,25,3
354,Robert Tonyan,TE,GNB,1.0,NOR,1,1,Sun,4,2,8,4.0,0,50.00%,2.0,2.8,0,0,0,0,0,0,0,0,0,0,3,38
355,Robert Tonyan,TE,GNB,0.0,PIT,4,4,Sun,7,2,8,4.0,0,28.60%,1.14,2.8,0,0,0,0,0,0,0,0,0,1,27,17
356,Jordan Akins,TE,HOU,1.0,CLE,2,2,Sun,2,1,17,17.0,0,50.00%,8.5,2.7,0,0,0,0,0,0,0,0,0,0,21,31
357,Harrison Bryant,TE,CLE,1.0,KAN,1,1,Sun,2,1,17,17.0,0,50.00%,8.5,2.7,0,0,0,0,0,0,0,0,0,0,29,33
358,Pat Freiermuth,TE,PIT,0.0,DEN,5,5,Sun,2,2,7,3.5,0,100.00%,3.5,2.7,0,0,0,0,0,0,0,0,0,1,27,19
359,Ian Thomas,TE,CAR,0.0,NYJ,1,1,Sun,2,1,17,17.0,0,50.00%,8.5,2.7,0,0,0,0,0,0,0,0,0,1,19,14
360,Dan Arnold,TE,CAR,0.0,NYJ,1,1,Sun,3,2,6,3.0,0,66.70%,2.0,2.6,0,0,0,0,0,0,0,0,0,1,19,14
